reference_no,pubyr,author1last,author2last,reftitle,doi,publication_type,complete_aff,grid_code,samp_country,aff_country1,aff_country2,aff_country3,aff_country4,aff_country5,aff_country6,aff_country7,aff_country8,journal,ethics
72678,2020,√Ålvarez-Parra,Pe√±alver,The oldest representative of the extant barklice genus Psyllipsocus (Psocodea: Trogiomorpha: Psyllipsocidae) from the Cenomanian amber of Myanmar,10.1016/j.cretres.2020.104480,journal article,"Departament de Din‡mica de la Terra i de líOce‡ and Institut de Recerca de la Biodiversitat (IRBio), Facultat de CiËncies de la Terra, Universitat de Barcelona, c/ MartÌ i FranquËs s/n, 08028, Barcelona, Spain\nInstituto GeolÛgico y Minero de EspaÒa (Museo Geominero), c/ Cirilo AmorÛs 42, 46004, Valencia, Spain\nInstitut de SystÈmatique, …volution, BiodiversitÈ, ISYEB - UMR 7205 ñ CNRS, MNHN, UPMC, EPHE, MusÈum national díHistoire naturelle, Sorbonne UniversitÈs, 57 rue Cuvier, CP 50, Entomologie, F-75005, Paris, France",,Myanmar (Burma),Spain,France,,,,,,,Cretaceous Research,no
73124,2020,Cao,Boudinot,Two new iron maiden ants from Burmese amber (Hymenoptera: Formicidae: ‚Ä†Zigrasimeciini),10.25849/myrmecol.news_030:161,journal article,"College of Life Sciences and Academy for Multidisciplinary Studies, Capital Normal University,  105 Xisanhuanbeilu, Haidian District, Beijing 100048, China;Department of Entomology & Nematology, University of California, Davis, CA 95616, USA;Department of Paleobiology, National Museum of Natural History, Smithsonian Institution,  Washington, DC 20013-7012, USA",,Myanmar (Burma),China,USA,,,,,,,,
72689,2020,Chen,,A new stonefly (Plecoptera: Perlidae) from the mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104489,journal article,"School of Grain Science and Technology, Jiangsu University of Science and Technology, Zhenjiang, 212004, China",grid.440785.a,Myanmar (Burma),China,,,,,,,,Cretaceous Research,no
73310,2020,Chen,Xu,First Peltoperlidae (Insecta: Plecoptera) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104506,journal article,"School of Grain Science and Technology, Jiangsu University of Science and Technology, Zhenjiang, 212004, China;State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China",grid.440785.a;grid.458479.3;grid.9227.e,Myanmar (Burma),China,,,,,,,,,
72682,2020,Cui,Chen,New species of webspinners (Insecta: Embiodea) from mid-Cretaceous amber of northern Myanmar,10.1016/j.cretres.2020.104457,journal article,"College of Life Sciences, South China Normal University, Guangzhou, 510630, China;School of Grain Science and Technology, Jiangsu University of Science and Technology, Zhenjiang, 212004, China;Division of Entomology, Natural History Museum, Department of Ecology & Evolutionary Biology, 1501 Crestline Drive ñ Suite 140, University of Kansas, Lawrence, KS 66045, USA;Division of Invertebrate Zoology, American Museum of Natural History, Central Park West at 79th Street, New York, NY 10024-5192, USA",,Myanmar (Burma),China,USA,,,,,,,,
72998,2020,Drohojowska,Szwedo,"Fossils reshape the Sternorrhyncha evolutionary tree (Insecta, Hemiptera)",10.1038/s41598-020-68220-x,journal article,"1Institute of Biology, Biotechnology and Environmental Protection, University of Silesia, 9, Bankowa St., 40-007 Katowice, Poland. 2Laboratory of Evolutionary Entomology and Museum of Amber Inclusions, Department of Invertebrate Zoology and Parasitology, University of Gda?sk, 59, Wita Stwosza St., 80-308 Gda?sk, Poland. 3Department of Ecology, Evolution and Organismal Biology, Iowa State University, Ames, IA, USA. 4State Key Laboratory of Palaeobiology and Stratigraphy, Center for Excellence in Life and Paleoenvironment, Nanjing Institute of Geology and Palaeontology, Chinese Academy of Sciences, Nanjing 210008, China. 5Kaeshofen, Germany. 6Amber Study Group, c/o Geological-Palaeontological Museum of the University of Hamburg, Bundesstraﬂe 55, 20146 Hamburg, Germany.",,Myanmar (Burma),Poland,USA,China,Germany,,,,,,
73266,2020,Gustafson,Michat,Burmese amber reveals a new stem lineage of whirligig beetle (Coleoptera: Gyrinidae) based on the larval stage,10.1093/zoolinnean/zlz161,journal article,"Department of Ecology and Evolutionary Biology and Division of Entomology, Biodiversity Institute, University of Kansas, Lawrence, KS 66045, USA;Laboratory of Entomology, Department of Biodiversity and Experimental Biology, Institute of Biodiversity and Experimental and Applied Biology, University of Buenos Aires, Buenos Aires, Argentina;State Bavarian Collection of Zoology, M¸nchhausenstraﬂe 21, 812 47 M¸nchen, Germany",,Myanmar (Burma),USA,Argentina,Germany,,,,,,,
71924,2020,Hinkelman,Vr√Ö¬°ansk√É¬°,A Myanmar amber cockroach with protruding feces contains pollen and a rich microcenosis,,journal article,NA,,Myanmar (Burma),Slovakia,,,,,,,,,
72721,2020,Hsiao,,"Taxonomic notes on Eustrophinae from the mid-Cretaceous Burmese amber, with description of a new species (Coleoptera, Tetratomidae)",,journal article,"Australian National Insect Collection, CSIRO National Research Collections Australia, Canberra, Australia;Division of Ecology and Evolution, Research School of Biology, The Australian National University, Canberra, Australia",,Myanmar (Burma),Australia,,,,,,,,,
72826,2020,Jaloszynski,Luo,The mid-Cretaceous ‚Ä†Lepiceratus gen. nov. and the evolution of the relict beetle family Lepiceridae (Insecta: Coleoptera: Myxophaga),10.1080/14772019.2020.1747561,journal article,"Museum of Natural History, University of Wroc?aw, Sienkiewicza 21, Wroc?aw, 50-335, Poland;bInstitut fÄur Zoologie undEvolutionsforschung, FSU Jena, 07743 Jena, Germany;cInstitute of Materials Research, Helmholtz-Zentrum Geesthacht, Outstationat DESY, Building 66, Notkestr. 85, Hamburg, D-22607, Germany;dIntegrative Research Center, Field Museum of Natural History,1400 S Lake Shore Drive, Chicago, IL, 60605, USA",,Myanmar (Burma),Poland,Germany,USA,,,,,,,
