reference_no,pubyr,author1last,author2last,reftitle,doi,publication_type,complete_aff,grid_code,samp_country,aff_country1,aff_country2,aff_country3,aff_country4,aff_country5,aff_country6,aff_country7,amber
73541,2020,Å evcÃ­k,Krzeminski,Intriguing and beautiful: Adamacrocera adami gen. et sp. nov. from the Upper Cretaceous amber of Myanmar represents a new subfamily of Keroplatidae (Diptera: Bibionomorpha),,journal article,"Department of Biology and Ecology, Faculty of Science, University of Ostrava, Chittussiho 10,71000 Ostrava, Czech Republic; sevcikjan@hotmail.com2Institute of Biology, Pedagogical University of Krakï¿½w, Podbrzezie 3, 31-054 Krakï¿½w, Poland;wieslawk4@gmail.com3Institute of Systematics and Evolution of Animals, Polish Academy of Sciences, 31-016 Krakï¿½w, Poland*Correspondence: yukisiak@gmail.com",grid.412684.d;grid.412464.1;grid.413454.3,Myanmar (Burma),Czech Republic,Poland,,,,,,yes
72678,2020,Ãlvarez-Parra,PeÃ±alver,The oldest representative of the extant barklice genus Psyllipsocus (Psocodea: Trogiomorpha: Psyllipsocidae) from the Cenomanian amber of Myanmar,,journal article,Unknown,,Myanmar (Burma),Spain,France,,,,,,yes
74204,2020,Bao,Antunes-Carvalho,"Two new polyphagan beetles (Tenebrionidae, Leiodidae) from lower Cenomanian amber of Myanmar",10.1016/j.cretres.2020.104599,journal article,"School of Ecology, Sun Yat-sen University, Guangzhou, 510006, China\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China\nInstitut f<9f>r Geowissenschaften, Universitat Bonn, Nussalle 8, 53115, Bonn, Germany\nDepartamento de Biologia Geral, Instituto de Biologia, Universidade Federal Fluminense, Outeiro de Sao Jo ~ ao Batista S/n, 24020-141, Niter ~ oi, Brazil",,Myanmar (Burma),China,Germany,Brazil,,,,,yes
75085,2020,Bartel,Dunlop,Laniatorean harvestmen (Arachnida: Opiliones) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104703,journal article,"Freie Universit<8a>t Berlin, Institut f<9f>r Geologische Wissenschaften, Malteserstra<a7>e 74-100, D-12249 Berlin, Germany\nMuseum f<9f>r Naturkunde, Leibniz Institute for Evolution and Biodiversity Science, Invalidenstrasse 43, D-10115 Berlin, Germany\nUniversity of Wisconsin-Madison, Department of Integrative Biology, 352 Birge Hall, 430 Lincoln Drive, Madison, WI 53706, USA\nDepartment of Geology and Paleontological Institute, University of Kansas, 1475 Jayhawk Boulevard, Lawrence, KS 66045, USA and Natural History Museum, Cromwell Road, London SW7 5BD, UK\nCollege of Life Sciences, Capital Normal University, Xisanhuanbeilu 105, Haidian District, Beijing 100048, China",,Myanmar (Burma),Germany,USA,UK,China,,,,yes
73124,2020,Cao,Boudinot,Two new iron maiden ants from Burmese amber (Hymenoptera: Formicidae: â€ Zigrasimeciini),,journal article,"College of Life Sciences and Academy for Multidisciplinary Studies, Capital Normal University,  105 Xisanhuanbeilu, Haidian District, Beijing 100048, China;Department of Entomology & Nematology, University of California, Davis, CA 95616, USA;Department of Paleobiology, National Museum of Natural History, Smithsonian Institution,  Washington, DC 20013-7012, USA",,Myanmar (Burma),China,USA,,,,,,yes
72689,2020,Chen,,A new stonefly (Plecoptera: Perlidae) from the mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104489,journal article,"School of Grain Science and Technology, Jiangsu University of Science and Technology, Zhenjiang, 212004, China",grid.440785.a,Myanmar (Burma),China,China,,,,,,yes
73310,2020,Chen,Xu,First Peltoperlidae (Insecta: Plecoptera) from mid-Cretaceous Burmese amber,10.1016/j.cretres.2020.104506,journal article,"School of Grain Science and Technology, Jiangsu University of Science and Technology, Zhenjiang, 212004, China;State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing, 210008, China",grid.440785.a;grid.458479.3;grid.9227.e,Myanmar (Burma),China,China,,,,,,yes
74598,2020,Chen,van Achterberg,Three new genera of Braconidae (Hymenoptera) from mid-Cretaceous amber of northern Myanmar,10.1016/j.cretres.2020.104669,journal article,"State Key Laboratory of Biocontrol, School of Life Sciences / School of Ecology, Sun Yat6 sen University, Guangzhou 510275, China\nState Key Laboratory of Rice Biology, Ministry of Agriculture Key Lab of Agricultural Biology of Crop Pathogens and Insects, and Institute of Insect Sciences, Zhejiang University, Hangzhou 310058, China\nDepartment of Entomology, South China Agricultural University, Guangzhou 51064, China",,Myanmar (Burma),China,China,,,,,,yes
74622,2020,Chen,Zhang,"The whitefly subfamily Aleurodicinae (Hemiptera, Sternorrhyncha, Aleyrodidae) in mid-Cretaceous Kachin amber, northern Myanmar",10.1016/j.cretres.2020.104668,journal article,"Institute of Geology and Palaeontology, Linyi University, Shuangling Road, Linyi, 276000, China\nState Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology and Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, 39 East Beijing Road, Nanjing 210008, China",,Myanmar (Burma),China,China,,,,,,yes
72682,2020,Cui,Chen,New species of webspinners (Insecta: Embiodea) from mid-Cretaceous amber of northern Myanmar,10.1016/j.cretres.2020.104457,journal article,"College of Life Sciences, South China Normal University, Guangzhou, 510630, China;School of Grain Science and Technology, Jiangsu University of Science and Technology, Zhenjiang, 212004, China;Division of Entomology, Natural History Museum, Department of Ecology & Evolutionary Biology, 1501 Crestline Drive ï¿½ Suite 140, University of Kansas, Lawrence, KS 66045, USA;Division of Invertebrate Zoology, American Museum of Natural History, Central Park West at 79th Street, New York, NY 10024-5192, USA",,Myanmar (Burma),China,USA,,,,,,yes
