Year,Month,Author(s),Title,Journal,DOI,Declaration,Documentation,Notes
2021,1,"Kolibac, Jiri; Peris, David",A new saproxylic species of Lophocateridae (Coleoptera: Cleroidea) from Upper Cretaceous Kachin amber (Myanmar),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104647,No,No,
2021,1,"Li, Yan-Da; Huang, Di-Ying; Cai, Chen-Yang",New Genera and Species of the Family Throscidae (Coleoptera: Elateroidea) in Mid-Cretaceous Burmese Amber,INSECTS,10.3390/insects12010063,No,No,
2021,1,"Jouault, Corentin","Mid-Cretaceous Burmese amber pelecinid wasps (Hymenoptera, Pelecinidae) support the hypothesis of an Asian origin of the family",ANNALES DE PALEONTOLOGIE,10.1016/j.annpal.2020.102464,No,No,
2021,1,"Jouault, Corentin; Rasnitsyn, Alexandr P.; Perrichot, Vincent","Ohlhoffiidae, a new Cretaceous family of basal parasitic wasps (Hymenoptera: Stephanoidea)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104635,No,No,
2021,1,"Zhao, Zhipeng; Shih, Chungkun; Gao, Taiping; Ren, Dong",Termite communities and their early evolution and ecology trapped in Cretaceous Amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104612,No,No,Review article
2021,1,"Khaustov, Alexander A.; Vorontsov, Dmitry D.; Perkovsky, Evgeny E.; Lindquist, Evert E.","Review of fossil heterostigmatic mites (Acari: Heterostigmata) from late Eocene Rovno Amber. I. Families Tarsocheylidae, Dolichocybidae and Acarophenacidae",SYSTEMATIC AND APPLIED ACAROLOGY,10.11158/saa.26.1.3,No,No,Review article
2021,1,"Li, Yan-Da; Kundrata, Robin; Tihelka, Erik; Liu, Zhenhua; Huang, Diying; Cai, Chenyang","Cretophengodidae, a new Cretaceous beetle family, sheds light on the evolution of bioluminescence",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2020.2730,No,No,
2021,1,"Hu, Fang-Shuo; Liang, Wei-Ren","The first record of the subfamily Dasycerinae in Taiwan, with description of a new species (Coleoptera: Staphylinidae)",ZOOTAXA,10.11646/zootaxa.4903.2.4,Unavailable,Unavailable,
2021,1,"Hernando, Carles; Andujar, Carmelo","Mitogenomic phylogenetics of Diochus occultus n. sp., a palaeoendemic endogean species within the tribe Diochini (Coleoptera: Staphylinidae: Staphylininae)",JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,10.1111/jzs.12425,NOT FOCUSED ON MYANMAR,,Genomic study
2021,2,"Chen, Jun; Zhang, Haichun; Zheng, Yan; Wang, Xiaoli","The whitefly subfamily Aleurodicinae (Hemiptera, Sternorrhyncha, Aleyrodidae) in mid-Cretaceous Kachin amber, northern Myanmar",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104668,No,No,
2021,2,"Zheng, Daran",Odonatans in lowermost Cenomanian Kachin amber: updated review and a new hemiphlebiid damselfly,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104640,No,No,
2021,2,"Zhang, Sihang; Xie, Sanping; Zhang, Yu; Wang, Bing; Zhang, Peng; Zeng, Xu; Yu, Yang","A new species of dance fly (Diptera, Empidoidea, Atelestidae) from mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104660,No,No,
2021,2,"Chen, Hua-yan; van Achterberg, Cornelis; Pang, Hong; Liu, Jing-xian",Three new genera of Braconidae (Hymenoptera) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104669,No,No,
2021,2,"Kope, Katarzyna; Krzeminski, Wieslaw; Albrycht, Marzena","The oldest representatives of the Pilaria (Diptera, Limoniidae) genus from mid-Cretaceous Burmese amber, northern Myanmar",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104671,No,No,
