x1,y1,label2,hj
1993,20,"Jurasic Park film
released",right
1994,50,The Kachin Ceasefire,right
1995,80,"Amber classified 
as a gemstone",right
2010,100,"Military begins to take
control of mines",right
2011,130,End of ceasefire,right
2017,40,"Military takes complete
control of mines",left
2000,100,"Publication confirms
that Myanmar amber is of 
Cretaceous age",right
2014,210,"Opening of the Gems and
Jewellery Trade Centre, Myitkyina",left
2019,110,"(1) Science Magazine article exposing 
the provenance of Myanmar fossils 
(2) UN fact finding report on human
rights violations in Kachin State",left
2020,130,SVP letter calling a moratorium,left
2016,170,"National Democratic Party
wins majority in parliament",right
2021,155,Military coup,left
2022,63,,left
