Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export
J,"Dlussky, GM",,,,"Dlussky, GM",,,"Ants (Hymenoptera, Formicidae) of Burmese amber",PALEONTOLOGICHESKII ZHURNAL,,,Russian,Article,,,,,,ant; Burmese amber,,"The ants from Burmese amber were not known before. Three ants from this amber were found out in the collection of the Natural History of Museum in London. Burmomyrma rossi sp. nov. (fig. 3) differs from other known ants by the combination of reduced wing venation (absence of closed cells), the presence of sting, one segmented waist and absence of constriction between 1 and 2 gastral segments. The holotype of B. rossi has no head, so it is impossible to determine precisely taxonomic position of new genus. Haidomyrmex cerberus sp. nov. (fig. 1) is the extraordinary specialised Sphecomyrminae ant with L-shaped mandibles and unusual structure of cranio-mandibular system. All known ants with trap-like mandibles have increased back part of the head, while H. cerberus have extended genae. The fragments of other ant (gaster, legs and deformed petiolus and propodeum) are present in the same piece of amber (fig. 26). The poor preservation state of specimen does not permit to make species description. The presence of sting and absence of constriction between 1 and 2 gastral segments in this ant and in B. rossi definitely indicates that they belongs to subfamilies Aneuretinae, Nothomyrmeciinae, or Sphecomyrminae.","[Dlussky, GM] Moscow State University, Moscow, Russia","Dlussky, GM (corresponding author), MOSCOW MV LOMONOSOV STATE UNIV, MOSCOW, RUSSIA.",,,,,,,15,3,4,0,0,MAIK NAUKA/INTERPERIODICA/SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013-1578 USA",0031-031X,,,PALEONTOL ZH,Paleontologicheskii Zhurnal,JUL-SEP,1996,,3,,,,,83,89,,,,,7,Paleontology,Paleontology,VU089,WOS:A1996VU08900012,,,,,20/07/2021
J,"Duckhouse, DA",,,,"Duckhouse, DA",,,Redescription and re-evaluation of the Burmese amber psychodid Eophlebotomus connectens Cockerell and its phylogenetic position (Diptera : Psychodidae),SYSTEMATIC ENTOMOLOGY,,,English,Article,,,,,,,,"Eophlebotomus is re-examined, with the discovery of important new features and others that were inaccurately described by previous workers. Hennig's scheme deriving the venation of Horaiella from that of Eophlebotomus could equally well have used a trichomyiine or a sycoracine as the starting point and therefore does not specifically support the hypothesis that Horaiella is the sister group. The phlebotomine-like features of Eophlebotomus are plesiomorphies mostly also occurring in Sycoracinae, but there are also several synapomorphies supporting a particular relationship between Eophlebotomus and Sycoracinae or Trichomyiinae or both. It is hypothesized that Eophlebotomus represents a basal offshoot of the lineage leading to Sycoracinae and Trichomyiinae.","[Duckhouse, DA] Univ Adelaide, Dept Environm Biol, Adelaide, SA 5005, Australia","Duckhouse, DA (corresponding author), Univ Adelaide, Dept Environm Biol, Adelaide, SA 5005, Australia.",,,,,,,22,16,21,0,1,BLACKWELL SCIENCE LTD,OXFORD,"P O BOX 88, OSNEY MEAD, OXFORD OX2 0NE, OXON, ENGLAND",0307-6970,,,SYST ENTOMOL,Syst. Entomol.,OCT,2000,25,4,,,,,503,509,,10.1046/j.1365-3113.2000.00123.x,,,7,Evolutionary Biology; Entomology,Evolutionary Biology; Entomology,368TL,WOS:000090133600005,,,,,20/07/2021
J,"Andersen, NM; Grimaldi, D",,,,"Andersen, NM; Grimaldi, D",,,A fossil water measurer from the mid-Cretaceous Burmese amber (Hemiptera : Gerromorpha : Hydrometridae),INSECT SYSTEMATICS & EVOLUTION,,,English,Article,,,,,,,STRIDERS; DIVERSIFICATION; HETEROPTERA; INFERENCE,"Semiaquatic bugs (Hemiptera: Gerromorpha) comprise about 1,800 extant species classified in eight families. So far, 38 fossil species belonging to six families have been described or recorded, most of Cenozoic age. Knowledge about the evolutionary history of the major groups of Gerromorpha is seriously hampered by the scarcity of well-preserved Mesozoic fossils, especially from the Cretaceous. The present paper reports on a well-preserved semiaquatic bug from amber collected in the northern part of Myanmar (Burma). The source of this fossiliferous amber was previously considered to be Eocene in age, but recent evidence indicates that it originated in the Middle Cretaceous (Turonian-Cenomanian), or 100-90 Ma. The fossil species is described as Carinametra burmensis gen. et sp. n. The presence of three pairs of cephalic trichobothria, a prolonged head, long slender antennae and legs, reduced wing venation, etc., places the fossil in the gerromorphan family Hydrometridae, or water measurers. Other characters suggest a close relationship with the two extant genera of the most basal of the hydrometrid subfamilies, Heterocleptinae. We present and discuss the available evidence used in the dating of Burmese amber. Finally, we discuss the phylogenetic, paleobiological, and biogeographic significance of the new fossil.","[Andersen, NM] Univ Copenhagen, Zool Museum, DK-2100 Copenhagen, Denmark; [Grimaldi, D] Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA","Andersen, NM (corresponding author), Univ Copenhagen, Zool Museum, Univ Pk 15, DK-2100 Copenhagen, Denmark.",nmandersen@zmuc.ku.dk; grimaldi@amnh.org,,,,,,36,18,21,0,5,BRILL ACADEMIC PUBLISHERS,LEIDEN,"PLANTIJNSTRAAT 2, P O BOX 9000, 2300 PA LEIDEN, NETHERLANDS",1399-560X,1876-312X,,INSECT SYST EVOL,Insect Syst. Evol.,,2001,32,4,,,,,381,392,,,,,12,Evolutionary Biology; Entomology,Evolutionary Biology; Entomology,518NU,WOS:000173675400002,,,,,20/07/2021
J,"Lourenco, WR",,,,"Lourenco, WR",,,The first scorpion fossil from the Cretaceous amber of Myanmar (Burma). New implications for the phylogeny of Buthoidea,COMPTES RENDUS PALEVOL,,,English,Article,,,,,,scorpion; fossil; Upper Cretaceous; amber; Myanmar (Burma),,"A specimen belonging to a new genus and species of fossil scorpion, Palaeoburmesebuthus grimaldii gen. n., sp. n., is described from the Upper Cretaceous amber of Myanmar (Burma). This is the first scorpion to have been found and described from Burmese amber (+/-90 Myr). The new genus and species are unquestionable buthoid elements but they are assigned to an incertae familiae until further material may be available for study. (C) 2002 Academie des sciences/Editions scientifiques et medicales Elsevier SAS.","[Lourenco, WR] Museum Natl Hist Nat, Lab Zool Arthropodes, F-75005 Paris, France","Lourenco, WR (corresponding author), Museum Natl Hist Nat, Lab Zool Arthropodes, 61 Rue Buffon, F-75005 Paris, France.",,,,,,,7,12,17,0,6,EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,PARIS CEDEX 15,"23 RUE LINOIS, 75724 PARIS CEDEX 15, FRANCE",1631-0683,,,C R PALEVOL,C. R. Palevol,MAR-APR,2002,1,2,,,,,97,101,PII S1631-0683(02)00017-9/FLA,10.1016/S1631-0683(02)00017-9,,,5,Paleontology,Paleontology,709MK,WOS:000184628800004,,,,,20/07/2021
J,"Grimaldi, DA; Engel, MS; Nascimbene, PC",,,,"Grimaldi, DA; Engel, MS; Nascimbene, PC",,,"Fossiliferous cretaceous amber from Myanmar (Burma): Its rediscovery, biotic diversity, and paleontological significance",AMERICAN MUSEUM NOVITATES,,,English,Review,,,,,,,EASTERN NORTH-AMERICA; CULICOMORPHA DIPTERA; PHYLOGENETIC SYSTEM; DOMINICAN AMBER; LEBANESE AMBER; CANADIAN AMBER; BALTIC AMBER; NEW-JERSEY; NEW-YORK; FOSSIL,"Amber from Kachin, northern Burma, has been used in China for at least a millennium for carving decorative objects, but the only scientific collection of inclusion fossils, at the Natural History Museum, London (NHML), was made approximately 90 years ago. Age of the material was ambiguous, but probably Cretaceous. Numerous new records and taxa occur in this amber, based on newly excavated material in the American Museum of Natural History (AMNH) containing 3100 organisms. Without having all groups studied, significant new records and taxa thus far include the following (a 1 refers to extinct taxa): For Plants: An angiosperm flower (only the third in Cretaceous amber), spores and apparent sporangia of an unusual but common fungus, hepatophyte thalli and an archegoniophore of Marchantiaceae, and leafy shoots of Metasequoia (Coniferae). Metasequoia is possibly the source of the amber. For Animals: Mermithidae and other Nematoda; the oldest ixodid tick (a larval Amblyomma); bird feathers; and the only Mesozoic record of the Onychophora (velvet worms), described as *Cretoperipatus burmiticus, n. gen., n. sp. (Peripatidae). Poinar's classification of the Onychophora is substantially revised. Still largely unstudied, the fauna of mites (Acari) and spiders (Araneae) appears to be the most diverse ones known for the Mesozoic. For Insecta: Odonata indet. (wing fragment); Plecoptera indet.; new genera of Dermaptera, Embiidina, and Zoraptera (the latter two as the only definitive Mesozoic fossils of their orders). Within Hemiptera, there are primitive new genera in the Aradidae, Hydrometridae, Piesmatidae, Schizopteridae, and Cimicomorpha (Heteroptera), as well as in *Tajmyraphididae (Aphidoidea), and *Protopsyllidiidae. An adult snakefly (Raphidioptera: *Mesoraphidiidae) is the smallest species in the order, and new genera occur in the Neuroptera: Coniopterygidae, Berothidae, and Psychopsidae, as well as larvae of apparent Nevrorthidae. Coleoptera are largely unstudied, but are probably the most diverse assemblage known from the Cretaceous, particularly for Staphylinidae. An adult lymexylid, the most primitive species of Atractocerus, is the first Mesozoic record of the family. In Hymenoptera there are primitive ants (Formicidae: Ponerinae n. gen., and *Sphecomyrma n.sp [Sphecomyrminae]), the oldest record of the Pompilidae, and significant new records of *Serphitidae and *Stigmaphronidae, among others. Diptera are the most diverse and abundant, with the oldest definitive Blephariceridae and mosquito (Culicidae), as well as new genera in the Acroceridae, Bibionidae, Empidoidea; a new genus near the enigmatic genus Valeseguya, and an unusual new genus in the *Archizelmiridae. *Chimeromyia (Diptera: Eremoneura), known previously in ambers from the Lower Cretaceous, is also represented. The stratigraphic distribution of exclusively Mesozoic arthropods in Burmese amber is reviewed, which indicates a probable Turonian-Cenomanian age of this material (90-100 Ma). Paleofaunal differences between the NHML and AMNH collections are discussed, as is the distinct tropical nature of the original biota. Burmese amber probably harbors the most diverse biota in amber from the Cretaceous, and one of the most diverse Mesozoic microbiotas now known.","[Grimaldi, DA] Amer Museum Nat Hist, Div Invertebrates, New York, NY 10024 USA; Univ Kansas, Dept Ecol & Evolutionary Biol, Lawrence, KS 66045 USA; [Engel, MS] Univ Kansas, Div Entomol, Museum Nat Hist, Lawrence, KS 66045 USA; [Nascibene, PC] Univ Kansas, Biodiver Res Ctr, Lawrence, KS 66045 USA","Grimaldi, DA (corresponding author), Amer Museum Nat Hist, Div Invertebrates, New York, NY 10024 USA.",grimaldi@amnh.org; nosh@amnh.org,"Engel, Michael S/C-5461-2012","Engel, Michael S/0000-0003-3067-077X",,,,178,565,635,2,83,AMER MUSEUM NATURAL HISTORY,NEW YORK,"ATTN: LIBRARY-SCIENTIFIC PUBLICATIONS DISTRIBUTION, CENTRAL PK WEST AT 79TH ST, NEW YORK, NY 10024-5192 USA",0003-0082,1937-352X,,AM MUS NOVIT,Am. Mus. Novit.,Mar-26,2002,,3361,,,,,1,72,,10.1206/0003-0082(2002)361<0001:FCAFMB>2.0.CO;2,,,72,Biodiversity Conservation; Zoology,Biodiversity & Conservation; Zoology,612DK,WOS:000179059100001,,,,,20/07/2021
J,"Engel, MS",,,,"Engel, MS",,,"The smallest snakefly (Raphidioptera : Mesoraphidiidae): A new species in Cretaceous amber from Myanmar, with a catalog of fossil snakeflies",AMERICAN MUSEUM NOVITATES,,,English,Article,,,,,,,INSECTS; FLORISSANT; COLORADO; ARTHROPODS; PHYLOGENY,"The world's smallest snakefly (Raphidioptera) is described and figured from a fossil preserved in Cretaceous amber from Myanmar (formerly Burma). Nanoraphidia electroburmica, new genus and species, is distinguished from other mesoraphidiids by characters of the wing venation and head morphology. Brief comments are made on the diminutive size of the specimen (forewing length just over 4 mm) and the geological history of the order is reviewed. Additionally, a larval snakefly is described from the same deposits, but is not considered to be congeneric with Nanoraphidia. A taxonomic catalog of all described, fossil snakeflies is appended. The following taxonomic changes are proposed: Priscaenigmatidae, new family, including Priscaenigma Whalley and Hondelagia Bode; Huaxiaraphidiidae, Sinoraphidiidae, and Jilinoraphidiidae, new synonyms of Mesoraphidiidae; Cratoraphidia and Rudiraphidia, new synonyms of Baissoptera; Caloraphidia, Mioraphidia, Phiradia, Xynoraphidia, and Yanoraphidia, new synonyms of Mesoraphidia; Miofibla, new synonym of Fibla (Reisserella); Cretoraphidiopsis, new name for Cretoraphidia Willmann (non Cretoraphidia Ponomarenko); Baissoptera pulchra (Martins-Neto and Nel), new combination; B. liaoningensis Ren, resurrected combination; Cretoraphidiopsis bontsaganensis (Ponomarenko), new combination; Fibla (Reisserella) cerdanica (Nel), new combination; Pararaphidia vitimica (Martynova), new combination; Mesoraphidia furcivenata Ren and M. pterostigmalis Martynova, resurrected combinations; and M. gaoi (Ren), M. glossophylla (Ren), M. longistigmosa (Ren), M. myrioneura (Ren), M. obliquivenatica (Ren), M. polyphlebia (Ren), and M. shangyuanensis (Ren), all new combinations in Mesoraphidia.","[Engel, MS] Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA; [Engel, MS] Univ Kansas, Museum Nat Hist, Dept Ecol & Evolutionary Biol, Lawrence, KS 66045 USA; [Engel, MS] Univ Kansas, Museum Nat Hist, Div Entomol, Lawrence, KS 66045 USA; [Engel, MS] Univ Kansas, Biodivers Res Ctr, Lawrence, KS 66045 USA","Engel, MS (corresponding author), Amer Museum Nat Hist, Div Invertebrate Zool, Cent Pk W & 79th St, New York, NY 10024 USA.",,"Engel, Michael S/C-5461-2012","Engel, Michael S/0000-0003-3067-077X",,,,87,47,50,0,8,AMER MUSEUM NATURAL HISTORY,NEW YORK,"ATTN: LIBRARY-SCIENTIFIC PUBLICATIONS DISTRIBUTION, CENTRAL PK WEST AT 79TH ST, NEW YORK, NY 10024-5192 USA",0003-0082,1937-352X,,AM MUS NOVIT,Am. Mus. Novit.,Mar-26,2002,,3363,,,,,1,22,,10.1206/0003-0082(2002)363<0001:TSSRMA>2.0.CO;2,,,22,Biodiversity Conservation; Zoology,Biodiversity & Conservation; Zoology,612DQ,WOS:000179059600001,,,,,20/07/2021
J,"Engel, MS; Grimaldi, DA",,,,"Engel, MS; Grimaldi, DA",,,The first Mesozoic Zoraptera (Insecta),AMERICAN MUSEUM NOVITATES,,,English,Article,,,,,,,SPECIES ZORAPTERA; ZOROTYPUS; PHYLOGENY; ORDERS; AMBER,"The earliest representatives of the polyneopteran insect order Zoraptera are described and figured. Four species, representing both alate and apterous morphs, are preserved in Cretaceous amber from Myanmar (Burma) and are the first fossil records of the order from the Old World and the Mesozoic. Zorotypus cretatus, new species, is represented by an apterous individual of indeterminate sex whereas Z. nascimbenei, new species, is represented by an alate female and Z. acanthothorax, new species, is known from an alate male. Xenozorotypus burmiticus, new genus and species, is represented by an alate male and possesses distinct plesiomorphies suggesting that it may be sister to all other zorapterans (Recent and extinct). Based on some peculiar apomorphies of the metafemoral and terminalic structure as well as wing venation it is placed in a separate genus. These species, particularly Z. cretatus, Z acanthothorax, and Z. nascimbenei, are remarkably similar to living zorapterans, which indicates antiquity of the genus Zorotypus and the order, the latter perhaps Lowermost Mesozoic in origin. Phylogeny and classification of Polyneoptera is briefly reviewed, and a list of zorapterans and their distributions is updated along with general comments on the evolution of the order.","[Engel MS; Grimaldi, D] Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA; [Engel MS] Univ Kansas, Dept Ecol & Evolutionary Biol, Lawrence, KS 66045 USA; [Engel MS] Univ Kansas, Div Entomol Paleoentomol, Nat Hist Museum, Lawrence, KS 66045 USA","Engel, MS (corresponding author), Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA.",gfimaldi@amnh.org,"Engel, Michael S/C-5461-2012","Engel, Michael S/0000-0003-3067-077X",,,,55,61,69,0,6,AMER MUSEUM NATURAL HISTORY,NEW YORK,"ATTN: LIBRARY-SCIENTIFIC PUBLICATIONS DISTRIBUTION, CENTRAL PK WEST AT 79TH ST, NEW YORK, NY 10024-5192 USA",0003-0082,1937-352X,,AM MUS NOVIT,Am. Mus. Novit.,Mar-26,2002,,3362,,,,,1,20,,10.1206/0003-0082(2002)362<0001:TFMZI>2.0.CO;2,,,20,Biodiversity Conservation; Zoology,Biodiversity & Conservation; Zoology,612DP,WOS:000179059500001,,,,,20/07/2021
J,"Penney, D",,,,"Penney, D",,,"Afrarchaea grimaldii, a new species of Archaeidae (Araneae) in Cretaceous Burmese amber",JOURNAL OF ARACHNOLOGY,,,English,Article,,,,,,Myanmar; fossil spiders,SPIDERS; ARACHNIDA; FOSSIL; LIMITS,"Afrarchaea grimaldii new species (Archaeidae, Archaeinae) from 88-95 Ma (Cenomanian-Turonian) Upper Cretaceous amber (Burmite) from Myanmar (Burma) is described. This is the first spider to be described from this deposit and is the oldest known Archaeidae sensu stricto extending the known range of the family by approximately 50 Ma from the previously oldest recorded specimens in Baltic and Bitterfeld ambers, and provides further evidence that spiders were not severely affected by the end-Cretaceous mass extinction event. It represents the oldest fossil record of an araneophagic spider. This species could be used to argue for both the theory of mobilistic biogeography and ousted relicts to explain the zoogeography of the genus, but until new data become available, supports neither reliably.","[Penney, D.] Univ Manchester, Manchester M13 9PL, Lancs, England","Penney, D (corresponding author), Univ Manchester, Manchester M13 9PL, Lancs, England.",,,,,,,38,27,31,0,4,AMER ARACHNOLOGICAL SOC,COLLEGE PARK,"UNIV MARYLAND, DEPT ENTOMOLOGY, 4112 PLANT SCIENCES BLDG, COLLEGE PARK, MD 20742-4454 USA",0161-8202,,,J ARACHNOL,J. Arachnol.,,2003,31,1,,,,,122,130,,10.1636/0161-8202(2003)031[0122:AGANSO]2.0.CO;2,,,9,Entomology,Entomology,699WB,WOS:000184078000012,,,,,20/07/2021
J,"Engel, MS",,,,"Engel, MS",,,An anteonine wasp in Cenomanian-Albian amber from Myanmar (Hymenoptera : Dryinidae),JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,,,English,Article,,,,,,anteoninae; Burma; Chrysidoidea; Cretaceous; paleontology; taxonomy,,"Burmanteon olmii, a new genus and species of anteonine wasp (Dryinidae) is described and figured from a single female preserved in Cretaceous (Cenomanian-Albian) amber from Myanmar (Burma). This fossil is presently the oldest record for its subfamily (and the second oldest for its family) which has hitherto been known only from Middle Eocene Baltic amber. A revised key to the genera of Anteoninae incorporating the new fossil genus is provided.","[Engel, MS] Univ Kansas, Museum Nat Hist, Div Entomol, Lawrence, KS 66045 USA; Univ Kansas, Dept Ecol & Evolutionary Biol, Lawrence, KS 66045 USA","Engel, MS (corresponding author), Univ Kansas, Museum Nat Hist, Div Entomol, Snow Hall,1460 Jayhawk Blvd, Lawrence, KS 66045 USA.",,"Engel, Michael S/C-5461-2012","Engel, Michael S/0000-0003-3067-077X",,,,6,23,27,0,1,KANSAS ENTOMOLOGICAL SOC,LAWRENCE,"PO BOX 368, LAWRENCE, KS 66044 USA",0022-8567,,,J KANSAS ENTOMOL SOC,J. Kans. Entomol. Soc.,OCT,2003,76,4,,,,,616,621,,,,,6,Entomology,Entomology,800SZ,WOS:000220049300009,,,,,20/07/2021
J,"Krishna, K; Grimaldi, DA",,,,"Krishna, K; Grimaldi, DA",,,"The first Cretaceous Rhinotermitidae (Isoptera): A new species, genus, and subfamily in Burmese amber",AMERICAN MUSEUM NOVITATES,,,English,Article,,,,,,,TERMITES,"A new subfamily, genus, and species, Archeorhinotermitinae, Archeorhinotermes rossi, from Burmese amber, dated as Turonian-Cenomanian (90-100 mya) of the Cretaceous period, are described and figured. Comparisons are made between the other subfamilies of the Rhinotermitidae and the new subfamily. This is the first fossil record of the family Rhinotermitidae from the Cretaceous.","[Krishna, K; Grimaldi, DA] Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA; [Krishna, K] CUNY City Coll, New York, NY 10031 USA; [Krishna, K]CUNY, Grad Sch, New York, NY USA","Krishna, K (corresponding author), Amer Museum Nat Hist, Div Invertebrate Zool, New York, NY 10024 USA.",krishn@amnh.org; grimaldi@amnh.org,"Eggleton, Paul/A-3155-2015","Eggleton, Paul/0000-0002-1420-7518",,,,13,28,34,0,0,AMER MUSEUM NATURAL HISTORY,NEW YORK,"ATTN: LIBRARY-SCIENTIFIC PUBLICATIONS DISTRIBUTION, CENTRAL PK WEST AT 79TH ST, NEW YORK, NY 10024-5192 USA",0003-0082,1937-352X,,AM MUS NOVIT,Am. Mus. Novit.,Feb-19,2003,,3390,,,,,1,10,,10.1206/0003-0082(2003)390<0001:TFCRIA>2.0.CO;2,,,10,Biodiversity Conservation; Zoology,Biodiversity & Conservation; Zoology,648DN,WOS:000181134700001,,,,,20/07/2021
